Timestamp,iMet_pressure,iMet_temp,iMet_rel_hum,iMet_hum_temp,iMet_date,iMet_time,iMet_longitude,iMet_latitude,iMet_altitude,iMet_sat,spectro_timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_total_points,spectro_status,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2025-11-27 11:03:47,,,,,,,,,,,627.2004,2132.00,2048,,,0.07,137.0,-0.04,0.05,0.01,23.66,43.49,1007.98,179.6,-180.0,284.0
2025-11-27 11:03:48,,,,,,,,,,,627.2004,2138.00,2048,,,0.07,125.0,-0.06,0.04,0.01,23.58,43.45,1008.01,179.5,180.0,282.0
2025-11-27 11:03:48,,,,,,,,,,,627.2004,2134.00,2048,,,0.06,115.0,-0.06,0.03,0.0,23.58,43.43,1008.0,179.6,180.0,286.0
2025-11-27 11:03:49,,,,,,,,,,,627.2004,2101.00,2048,,,0.07,106.0,-0.07,0.02,0.03,23.44,43.34,1008.0,179.5,-180.0,282.0
2025-11-27 11:03:49,,,,,,,,,,,627.2004,2101.00,2048,,,0.08,90.0,-0.07,-0.0,0.03,23.44,43.37,1008.0,179.5,-180.0,286.0
2025-11-27 11:03:50,,,,,,,,,,,627.2004,2122.00,2048,,,0.1,82.0,-0.09,-0.01,0.03,23.51,43.26,1007.98,179.5,-180.0,284.0
2025-11-27 11:03:50,,,,,,,,,,,627.2004,2122.00,2048,,,0.08,79.0,-0.07,-0.01,0.02,23.51,43.21,1008.0,179.6,180.0,285.0
2025-11-27 11:03:51,,,,,,,,,,,627.2004,2105.00,2048,,,0.06,97.0,-0.05,0.01,0.03,23.56,43.15,1007.98,179.5,-180.0,288.0
2025-11-27 11:03:51,,,,,,,,,,,627.2004,2115.00,2048,,,0.04,89.0,-0.04,-0.0,0.02,23.58,43.1,1007.98,179.6,-180.0,285.0
2025-11-27 11:03:52,,,,,,,,,,,627.2004,2077.00,2048,,,0.05,79.0,-0.01,-0.0,0.05,23.63,43.04,1007.98,179.5,180.0,286.0
2025-11-27 11:03:53,,,,,,,,,,,627.2004,2129.00,2048,,,0.04,116.0,-0.03,0.02,0.01,23.61,43.01,1008.01,179.5,-180.0,284.0
2025-11-27 11:03:53,,,,,,,,,,,627.2004,2129.00,2048,,,0.04,114.0,-0.03,0.01,0.02,23.59,42.95,1007.99,179.5,-180.0,285.0
2025-11-27 11:03:54,,,,,,,,,,,627.2004,2099.00,2048,,,0.06,110.0,-0.05,0.02,0.01,23.44,42.91,1007.94,179.5,180.0,283.0
2025-11-27 11:03:54,,,,,,,,,,,627.2004,2140.00,2048,,,0.05,130.0,-0.04,0.03,0.01,23.45,42.89,1007.98,179.6,-180.0,287.0
2025-11-27 11:03:55,,,,,,,,,,,627.2004,2148.00,2048,,,0.08,117.0,-0.06,0.03,0.03,23.5,42.81,1007.97,179.5,-180.0,287.0
2025-11-27 11:03:55,,,,,,,,,,,627.2004,2148.00,2048,,,0.08,111.0,-0.07,0.03,0.02,23.47,42.79,1008.0,179.6,-179.9,283.0
2025-11-27 11:03:56,,,,,,,,,,,627.2004,2132.00,2048,,,0.06,114.0,-0.05,0.02,0.02,23.36,42.79,1008.0,179.6,180.0,286.0
2025-11-27 11:03:57,,,,,,,,,,,627.2004,2147.00,2048,,,0.07,112.0,-0.06,0.02,0.03,23.41,42.7,1007.98,179.6,-180.0,288.0
2025-11-27 11:03:57,,,,,,,,,,,627.2004,2102.00,2048,,,0.07,112.0,-0.06,0.02,0.03,23.41,42.7,1007.98,179.6,-180.0,288.0
2025-11-27 11:03:58,,,,,,,,,,,627.2004,2095.00,2048,,,0.06,135.0,-0.03,0.03,0.03,23.46,42.62,1007.98,179.6,180.0,283.0
2025-11-27 11:03:59,,,,,,,,,,,627.2004,2107.00,2048,,,0.08,132.0,-0.05,0.05,0.02,23.41,42.55,1007.98,179.6,-180.0,285.0
2025-11-27 11:04:00,,,,,,,,,,,627.2004,2105.00,2048,,,0.07,130.0,-0.05,0.04,0.02,23.4,42.5,1007.96,179.5,180.0,285.0
2025-11-27 11:04:00,,,,,,,,,,,627.2004,2117.00,2048,,,0.07,130.0,-0.05,0.04,0.02,23.4,42.5,1007.96,179.5,180.0,285.0
2025-11-27 11:04:01,,,,,,,,,,,627.2004,2122.00,2048,,,0.04,117.0,-0.03,0.02,0.01,23.44,42.48,1007.96,179.6,-179.9,287.0
