Wind_Speed,Wind_Direction,U_Vector,V_Vector,W_Vector,Temperature,Relative_Humidity,Pressure,Compass_Heading,Pitch,Roll,Timestamp
0.04,102.0,-0.04,0.01,0.01,24.6,39.65,1009.37,-179.8,179.8,289.0,2025-11-26 14:43:20
0.04,104.0,-0.04,0.01,0.01,24.6,39.64,1009.36,-179.8,179.9,291.0,2025-11-26 14:43:20
0.06,135.0,-0.04,0.04,0.01,24.64,39.64,1009.37,-179.9,180.0,292.0,2025-11-26 14:43:20
0.05,137.0,-0.03,0.03,0.01,24.71,39.66,1009.33,-179.8,179.9,292.0,2025-11-26 14:43:20
0.06,133.0,-0.04,0.04,0.01,24.79,39.63,1009.32,-179.8,180.0,290.0,2025-11-26 14:43:21
0.04,114.0,-0.04,0.02,0.02,24.79,39.65,1009.35,-179.9,-179.7,291.0,2025-11-26 14:43:21
0.03,70.0,-0.03,-0.01,0.01,24.77,39.65,1009.36,-179.9,179.8,288.0,2025-11-26 14:43:21
0.05,74.0,-0.05,-0.01,-0.01,24.8,39.63,1009.32,-179.8,179.9,291.0,2025-11-26 14:43:21
0.07,88.0,-0.07,-0.0,0.0,24.82,39.63,1009.33,-179.8,180.0,290.0,2025-11-26 14:43:21
0.06,98.0,-0.06,0.01,0.0,24.84,39.67,1009.35,-179.9,-179.9,287.0,2025-11-26 14:43:21
0.07,92.0,-0.07,0.0,0.02,24.85,39.72,1009.36,-179.8,-180.0,293.0,2025-11-26 14:43:21
0.04,80.0,-0.04,-0.01,0.01,24.85,39.63,1009.35,-179.9,179.9,291.0,2025-11-26 14:43:22
0.05,91.0,-0.05,0.0,0.0,24.83,39.65,1009.33,-179.8,-180.0,290.0,2025-11-26 14:43:22
0.06,85.0,-0.06,-0.01,0.0,24.87,39.68,1009.37,-179.9,180.0,286.0,2025-11-26 14:43:22
0.07,76.0,-0.06,-0.02,0.02,24.88,39.65,1009.35,-179.9,180.0,291.0,2025-11-26 14:43:22
0.07,83.0,-0.06,-0.01,0.03,24.87,39.69,1009.34,-179.8,179.9,288.0,2025-11-26 14:43:22
0.03,77.0,-0.03,-0.01,0.01,24.87,39.68,1009.37,-179.9,179.9,291.0,2025-11-26 14:43:22
0.03,122.0,-0.02,0.01,0.01,24.85,39.68,1009.37,-179.9,-179.9,287.0,2025-11-26 14:43:22
0.04,109.0,-0.04,0.01,0.02,24.86,39.67,1009.33,-179.8,180.0,290.0,2025-11-26 14:43:22
0.06,94.0,-0.05,0.0,0.02,24.86,39.65,1009.36,-179.9,-179.9,290.0,2025-11-26 14:43:23
0.06,98.0,-0.06,0.01,0.02,24.87,39.69,1009.35,-179.9,180.0,286.0,2025-11-26 14:43:23
0.05,104.0,-0.04,0.01,0.02,24.89,39.69,1009.38,-179.8,179.8,293.0,2025-11-26 14:43:23
0.03,81.0,-0.02,-0.0,0.03,24.89,39.67,1009.35,-179.8,180.0,289.0,2025-11-26 14:43:23
0.03,99.0,-0.01,0.0,0.03,24.87,39.64,1009.33,-179.9,179.9,288.0,2025-11-26 14:43:23
0.04,108.0,-0.04,0.01,0.01,24.83,39.63,1009.32,-179.9,-180.0,289.0,2025-11-26 14:43:23
0.07,123.0,-0.06,0.04,0.02,24.82,39.64,1009.36,-179.9,-180.0,287.0,2025-11-26 14:43:23
0.07,121.0,-0.06,0.04,0.02,24.81,39.7,1009.32,-179.7,179.8,291.0,2025-11-26 14:43:24
0.05,117.0,-0.04,0.02,0.02,24.82,39.69,1009.35,-179.9,-180.0,286.0,2025-11-26 14:43:24
0.04,120.0,-0.03,0.02,0.02,24.83,39.67,1009.36,-179.9,179.9,290.0,2025-11-26 14:43:24
0.06,131.0,-0.04,0.04,0.01,24.81,39.64,1009.34,-179.8,180.0,290.0,2025-11-26 14:43:24
0.06,114.0,-0.05,0.02,0.01,24.81,39.65,1009.36,-179.8,179.9,287.0,2025-11-26 14:43:24
0.06,130.0,-0.05,0.04,0.01,24.81,39.64,1009.35,-179.9,180.0,289.0,2025-11-26 14:43:25
0.08,140.0,-0.05,0.06,0.02,24.79,39.67,1009.33,-179.8,179.8,295.0,2025-11-26 14:43:25
0.07,126.0,-0.06,0.04,0.01,24.81,39.64,1009.36,-179.9,179.9,288.0,2025-11-26 14:43:25
0.08,123.0,-0.06,0.04,0.03,24.81,39.67,1009.37,-179.9,-179.9,288.0,2025-11-26 14:43:25
0.07,111.0,-0.06,0.02,0.02,24.87,39.64,1009.36,-179.9,180.0,288.0,2025-11-26 14:43:25
0.09,95.0,-0.08,0.01,0.04,24.92,39.65,1009.4,-179.8,179.9,290.0,2025-11-26 14:43:26
0.09,110.0,-0.08,0.03,0.03,24.96,39.69,1009.35,-179.9,179.8,290.0,2025-11-26 14:43:26
0.07,89.0,-0.07,-0.0,0.01,24.95,39.68,1009.37,-179.9,-179.9,289.0,2025-11-26 14:43:26
0.05,93.0,-0.04,0.0,0.02,24.95,39.73,1009.4,-179.9,179.9,290.0,2025-11-26 14:43:26
0.06,99.0,-0.06,0.01,0.0,24.98,39.67,1009.38,-179.9,179.8,290.0,2025-11-26 14:43:26
0.06,95.0,-0.05,0.0,0.02,24.99,39.65,1009.39,180.0,-179.8,294.0,2025-11-26 14:43:27
0.03,123.0,-0.03,0.02,0.0,24.97,39.67,1009.37,-179.9,179.9,289.0,2025-11-26 14:43:27
0.05,125.0,-0.04,0.03,-0.0,24.91,39.63,1009.33,-179.8,179.8,283.0,2025-11-26 14:43:27
0.06,114.0,-0.06,0.03,0.01,24.89,39.63,1009.36,-179.9,180.0,287.0,2025-11-26 14:43:27
0.09,122.0,-0.08,0.05,0.01,24.84,39.65,1009.36,-180.0,-179.8,288.0,2025-11-26 14:43:27
0.1,118.0,-0.09,0.05,0.02,24.83,39.66,1009.38,-179.9,-179.9,289.0,2025-11-26 14:43:28
0.12,117.0,-0.1,0.05,0.02,24.82,39.67,1009.37,-179.7,179.7,291.0,2025-11-26 14:43:28
0.08,139.0,-0.05,0.06,0.01,24.8,39.62,1009.33,-179.9,179.9,288.0,2025-11-26 14:43:28
0.08,141.0,-0.05,0.06,0.02,24.72,39.66,1009.34,-180.0,-179.9,290.0,2025-11-26 14:43:28
0.05,119.0,-0.04,0.02,0.01,24.74,39.68,1009.39,-179.8,179.9,290.0,2025-11-26 14:43:28
0.02,146.0,-0.01,0.02,0.01,24.8,39.68,1009.37,-179.8,179.9,291.0,2025-11-26 14:43:29
0.02,153.0,-0.01,0.02,0.01,24.84,39.65,1009.34,-179.8,180.0,292.0,2025-11-26 14:43:29
0.04,172.0,-0.0,0.03,0.03,24.84,39.67,1009.38,-179.9,-179.9,290.0,2025-11-26 14:43:29
0.03,192.0,0.0,0.02,0.01,24.82,39.64,1009.38,-179.9,180.0,289.0,2025-11-26 14:43:29
0.06,160.0,-0.02,0.04,0.03,24.8,39.67,1009.36,-179.8,179.9,289.0,2025-11-26 14:43:29
0.06,181.0,0.0,0.05,0.04,24.78,39.68,1009.36,-179.9,-180.0,291.0,2025-11-26 14:43:30
0.05,201.0,0.02,0.04,0.03,24.8,39.65,1009.34,-179.9,180.0,285.0,2025-11-26 14:43:30
0.05,226.0,0.03,0.03,0.02,24.79,39.65,1009.33,-179.9,179.9,288.0,2025-11-26 14:43:30
0.04,268.0,0.04,0.0,0.01,24.83,39.62,1009.36,-179.8,-180.0,292.0,2025-11-26 14:43:30
0.09,252.0,0.08,0.03,0.01,24.98,39.69,1009.35,-179.9,180.0,287.0,2025-11-26 14:43:30
0.09,210.0,0.04,0.07,0.04,25.19,39.6,1009.35,-179.9,-179.9,287.0,2025-11-26 14:43:31
0.07,170.0,-0.01,0.07,0.03,25.13,39.64,1009.39,-179.7,179.9,289.0,2025-11-26 14:43:31
0.11,147.0,-0.06,0.09,0.01,24.92,39.65,1009.39,-179.7,179.7,283.0,2025-11-26 14:43:31
0.15,144.0,-0.09,0.12,0.01,24.76,39.63,1009.35,-180.0,-179.7,288.0,2025-11-26 14:43:31
0.12,152.0,-0.06,0.1,-0.0,24.78,39.65,1009.38,-179.7,179.8,289.0,2025-11-26 14:43:31
0.13,141.0,-0.08,0.1,0.0,24.87,39.64,1009.38,-179.9,-179.9,291.0,2025-11-26 14:43:32
0.15,144.0,-0.09,0.12,-0.0,24.88,39.65,1009.33,-179.8,179.9,287.0,2025-11-26 14:43:32
0.11,158.0,-0.04,0.1,-0.0,24.85,39.62,1009.36,-179.8,179.9,290.0,2025-11-26 14:43:32
0.1,139.0,-0.07,0.08,0.02,24.85,39.62,1009.38,-179.9,-179.9,288.0,2025-11-26 14:43:32
0.1,147.0,-0.05,0.09,0.02,24.86,39.64,1009.36,-179.8,179.9,291.0,2025-11-26 14:43:32
0.1,144.0,-0.06,0.08,0.01,24.91,39.61,1009.37,-179.9,-179.9,290.0,2025-11-26 14:43:33
0.11,157.0,-0.04,0.1,-0.0,24.83,39.6,1009.35,-179.9,179.9,290.0,2025-11-26 14:43:33
0.08,131.0,-0.06,0.05,-0.0,24.79,39.6,1009.36,-179.9,179.9,287.0,2025-11-26 14:43:33
0.06,109.0,-0.06,0.02,0.01,24.83,39.6,1009.38,-179.9,180.0,291.0,2025-11-26 14:43:33
0.08,106.0,-0.07,0.02,0.04,24.9,39.67,1009.36,-179.9,-179.9,289.0,2025-11-26 14:43:33
0.07,89.0,-0.07,-0.0,0.03,24.99,39.64,1009.37,-179.9,179.9,287.0,2025-11-26 14:43:34
0.07,80.0,-0.06,-0.01,0.03,25.12,39.62,1009.37,-179.9,180.0,285.0,2025-11-26 14:43:34
0.08,80.0,-0.06,-0.01,0.04,25.15,39.65,1009.39,-179.8,-179.9,285.0,2025-11-26 14:43:34
0.06,67.0,-0.05,-0.02,0.03,25.17,39.63,1009.37,-179.9,180.0,284.0,2025-11-26 14:43:34
0.03,124.0,-0.02,0.02,0.02,25.14,39.63,1009.36,180.0,-179.9,289.0,2025-11-26 14:43:34
0.05,174.0,-0.01,0.05,0.01,25.0,39.62,1009.37,-179.8,180.0,287.0,2025-11-26 14:43:35
0.07,169.0,-0.01,0.07,0.01,24.85,39.59,1009.34,-179.8,179.8,288.0,2025-11-26 14:43:35
0.1,156.0,-0.04,0.09,0.02,24.72,39.59,1009.35,-179.9,-179.9,285.0,2025-11-26 14:43:35
0.07,108.0,-0.07,0.02,0.01,24.72,39.59,1009.34,-179.8,179.9,284.0,2025-11-26 14:43:35
0.09,115.0,-0.08,0.04,0.03,24.78,39.64,1009.37,-179.9,-180.0,288.0,2025-11-26 14:43:35
0.11,136.0,-0.07,0.07,0.04,24.73,39.63,1009.36,-179.9,-179.9,291.0,2025-11-26 14:43:36
